domain_code,universe_code,name,domain_nature,description,baseline_stream_count,source_basis,normalization_status,confidence,governance_status,version,source_document
LAW-DOM-LIT,UNI-LAW,"Litigation, Advocacy & Court Practice",Core Legal Practice,"Civil, criminal, commercial, constitutional and tribunal advocacy pathways.",5,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-JUD,UNI-LAW,"Judiciary, Prosecution & Government Legal Service",Public/Judicial,"Judicial service, prosecution, government legal officer, defence and public legal administration.",5,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-CORP,UNI-LAW,"Corporate, Commercial, Contracts & In-House Law",Corporate/Commercial,"Corporate advisory, M&A, contracts, in-house counsel and commercial legal work.",12,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-GOV,UNI-LAW,"Corporate Governance, Secretarial & Compliance",Governance/Compliance,"Corporate governance, secretarial practice, compliance management and board advisory.",4,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-TAX,UNI-LAW,"Tax, Fiscal & Economic Regulation",Tax/Economic,"Direct and indirect tax, fiscal law, economic regulation and related advisory.",0,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-FIN,UNI-LAW,"Banking, Securities, Insurance, FinTech & Financial Crime",Finance/Regulatory,"BFSI law, securities, insurance, fintech, AML, fraud and financial-crime compliance.",8,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-IBC,UNI-LAW,"Insolvency, Restructuring & Distressed Assets",Corporate/Regulated,"IBC, insolvency resolution, liquidation, restructuring and distressed-asset pathways.",2,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-IP,UNI-LAW,"Intellectual Property, Innovation & Creative Economy Law",IP/Creative,"Patents, trademarks, copyright, media, entertainment, art, design and creator-economy law.",2,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-TECH,UNI-LAW,"Technology, Privacy, Cyber, AI & Digital Governance",Technology/Regulatory,"Cyber law, data protection, AI governance, digital identity, platform and emerging-technology law.",8,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-ADR,UNI-LAW,"ADR, Mediation, Arbitration & ODR",Dispute Resolution,"Arbitration, mediation, negotiation, online dispute resolution and settlement systems.",2,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-INT,UNI-LAW,"International, Trade, Immigration, Transport & Space Law",International/Sectoral,"International law, trade, immigration, shipping, aviation, space, drones and cross-border regulation.",5,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-PUB,UNI-LAW,"Constitutional, Administrative, Human Rights & Public Interest Law",Public Interest,"Constitutional law, civil liberties, PIL, rights advocacy, public administration and legal empowerment.",4,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-ENV,UNI-LAW,"Environmental, Climate, Land, Forest & Resource Law",Environment/Resource,"Environmental, ESG, climate, forest, water, land and natural-resource governance.",0,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-CRIM,UNI-LAW,"Criminal Justice, Forensics, Investigation & Evidence",Criminal/Forensic,"Criminal law, criminology, investigation support, white-collar enforcement, digital evidence and forensics.",4,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-FAM,UNI-LAW,"Family, Child, Elder, Succession & Private Client Law",Private Client,"Family law, child rights, elder rights, succession, estate and personal legal transitions.",1,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-PROP,UNI-LAW,"Property, Real Estate, Infrastructure & Public Contracts",Property/Infrastructure,"Property, real estate, infrastructure projects, procurement and public-contract law.",1,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-LAB,UNI-LAW,"Labour, Employment, Workplace & Social Compliance",Labour/Social,"Employment law, labour compliance, workplace conflict, POSH and social-law pathways.",0,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-DOM-SEC,UNI-LAW,"Sectoral Regulation: Health, Pharma, Food, Energy & Consumer",Sectoral Regulation,"Healthcare, pharma, food, energy, consumer, legal metrology and other regulated-sector law.",5,,Validated baseline,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
