stream_code,career_outcome_code,domain_code,universe_code,name,parent_disciplines_raw,hybrid_cluster,structured_courses,eligibility,entry_stage,institutions_ecosystem,entrance_route,core_skills,preparation_8_12,salary_revenue_raw,work_mode,enterprise_scope,ai_technology_exposure,portfolio_requirement,mission_relevance,career_maturity,source_url,governance_status,version,source_document
INT-STR-BIOS-BIOISPEC,CAR-INT-BIOS-BIOISPEC,INT-DOM-BIOSCI,UNI-INTERDISCIPLINARY,Bioinformatics Specialist,Biology + Computer Science + Statistics,Life Sciences + Data,BSc/MSc Bioinformatics; BTech Bioinformatics; MSc Biotechnology with computational electives,PCB/PCM in 12th; BSc Life Sciences/Biotech/CS for PG,After 12th / Graduation,"IISERs, Central Universities, private universities, biotech institutes",CUET/IAT/institute exams,"Biology, Python/R, statistics, genomics databases","Class 8-10: biology + maths foundation; 11-12: PCB/PCM, coding basics",₹4-12 LPA entry; ₹12-30 LPA specialist,Lab + data + hybrid,"Medium: bio-data consulting, genome annotation support",Very High,"High: datasets, mini research projects","Biotech, Digital Health, IndiaAI",Established,https://www.iiseradmission.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-BIOS-HEALINFOANAL,CAR-INT-BIOS-HEALINFOANAL,INT-DOM-BIOSCI,UNI-INTERDISCIPLINARY,Health Informatics Analyst,Healthcare + Data Science + Management,Healthcare + Analytics,BSc/MSc Health Informatics; MPH with informatics; MBA Healthcare Analytics,Any graduate for PG; health/science/IT background preferred,Graduation / PG,"IIHMR, IIPH, health universities, digital health programs",CUET PG/Institute selection/MBA exams,"Health systems, data dashboards, privacy, Excel/SQL","Biology, basic statistics, digital health awareness",₹5-15 LPA,Hospital/Consulting/Hybrid,Medium: hospital analytics services,High,High: dashboard + case reports,Ayushman Bharat Digital Mission,Emerging-Structured,https://abdm.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-PSYA-UXRESE,CAR-INT-PSYA-UXRESE,INT-DOM-PSYAI,UNI-INTERDISCIPLINARY,UX Researcher,Psychology + Design + Technology,Design + Human Behaviour,BDes/MDes UX; Human-Computer Interaction; Psychology + UX PG diploma,Any stream for design UG; graduation for MDes/PG; psychology/design/engineering useful,After 12th / Graduation,"NID, IITs, design schools, private universities",UCEED/CEED/NID DAT/Institute tests,"User research, empathy, interviewing, prototyping, analytics","Observation diary, design thinking, reading psychology",₹5-18 LPA,Hybrid/Remote/Product teams,High: UX research consultancy,High,Very High: portfolio mandatory,"Digital India, startup ecosystem",Established-Emerging,https://www.uceed.iitb.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-PSYA-BEHAECON,CAR-INT-PSYA-BEHAECON,INT-DOM-PSYAI,UNI-INTERDISCIPLINARY,Behavioural Economist,Economics + Psychology + Data,Behaviour + Policy/Business,BA/MA Economics; MSc Behavioural Science; Public Policy with behavioural track,Any stream with maths/economics helpful; any graduate for PG,After 12th / Graduation,"Ashoka/Jindal/central universities, policy schools, IIM research ecosystem",CUET/Institute tests,"Statistics, psychology, experiment design, economics","Maths, economics reading, observation projects",₹6-18 LPA,Consulting/Research/Policy,High: behavioural design consulting,Medium,"High: experiments, survey reports","Public health, financial inclusion, policy nudges",Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-PSYA-NEURRESEASSO,CAR-INT-PSYA-NEURRESEASSO,INT-DOM-PSYAI,UNI-INTERDISCIPLINARY,NeuroMarketing Research Associate,Psychology + Marketing + Neuroscience,Psychology + Business,MSc Psychology/Neuroscience; MBA Marketing with consumer research; PG neuromarketing,Psychology/life sciences/management background,Graduation / PG,"Psychology departments, management institutes, neuroscience labs",CUET PG/CAT/MAT/institute tests,"Consumer research, analytics, experimental methods","Psychology, biology basics, statistics, marketing awareness",₹5-15 LPA,Research/Marketing/Consulting,Medium: consumer insight studio,Medium-High,High: research portfolio,Startup/consumer economy,Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-PSYA-HUMAFACTERGOSPEC,CAR-INT-PSYA-HUMAFACTERGOSPEC,INT-DOM-PSYAI,UNI-INTERDISCIPLINARY,Human Factors / Ergonomics Specialist,Psychology + Design + Engineering,Human Factors,MDes HCI; MSc Psychology/Ergonomics; engineering design programs,Engineering/design/psychology background,Graduation / PG,"IITs, NID, design/engineering institutes",CEED/GATE/CUET PG/institute,"Cognition, usability, safety, prototyping","Science, psychology, observation, design projects",₹6-20 LPA,Product/Research/Consulting,High: usability audit services,High,High: usability studies,"Digital products, safety standards",Emerging-Structured,https://www.ceed.iitb.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-FINT-FINTPRODANAL,CAR-INT-FINT-FINTPRODANAL,INT-DOM-FINTECH,UNI-INTERDISCIPLINARY,FinTech Product Analyst,Finance + Technology + Data,Commerce + Analytics + Tech,BBA/BCom FinTech; MBA FinTech; PG Diploma FinTech; Data Science with finance,Commerce/PCM/any UG; maths useful,After 12th / Graduation,"IIMs, IITM online, IIFT, private universities",CUET/CAT/CMAT/institute exams,"Finance, product thinking, data, regulation basics","Maths, commerce, Excel, basic coding",₹6-20 LPA,FinTech/startup/hybrid,High: fintech product consulting,Very High,High: product case studies,"Digital India, UPI, ONDC",Emerging-Structured,https://onlinedegree.iitm.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-FINT-FINAANALPROF,CAR-INT-FINT-FINAANALPROF,INT-DOM-FINTECH,UNI-INTERDISCIPLINARY,Financial Analytics Professional,Commerce + Statistics + Data Science,Finance + Analytics,BCom/BBA + analytics; MSc Financial Analytics; MBA Business Analytics,Commerce/PCM/any UG with quantitative aptitude,After 12th / Graduation,"IITM BS, IIMs, private universities, analytics institutes",CUET/CAT/CMAT/institute tests,"Excel, Python/R, accounting, statistics, BI tools","Maths, accountancy, spreadsheet practice",₹5-16 LPA,Corporate/Hybrid,Medium: financial dashboard services,High,High: analysis portfolio,"Digital India, financial inclusion",Established-Emerging,https://study.iitm.ac.in/mg/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-FINT-CLIMFINAANAL,CAR-INT-FINT-CLIMFINAANAL,INT-DOM-FINTECH,UNI-INTERDISCIPLINARY,Climate Finance Analyst,Finance + Sustainability + Policy,Climate + Finance,MBA Sustainability/Finance; MSc Environmental Economics; PG climate finance,Any graduate; commerce/economics/environment background useful,Graduation / PG,"IIMs, TERI SAS, sustainability schools, finance institutes",CAT/CUET PG/institute exams,"ESG, carbon markets, financial modelling, policy","Geography, economics, climate awareness, maths",₹6-20 LPA,Consulting/Finance/ESG,High: ESG advisory,Medium-High,High: ESG reports,"LiFE Mission, climate policy, green finance",Emerging-Structured,https://www.ugc.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-CLIM-ESGSUSTANAL,CAR-INT-CLIM-ESGSUSTANAL,INT-DOM-CLIMATE,UNI-INTERDISCIPLINARY,ESG & Sustainability Analyst,Management + Environment + Reporting,Sustainability Management,MBA Sustainability; MSc Environmental Management; PG ESG certification,Any graduate; science/economics/management helpful,Graduation / PG,"IIMs, TERI SAS, state universities, private institutes",CAT/CUET PG/institute tests,"ESG reporting, GRI/BRSR awareness, research","Environment clubs, data tables, report writing",₹5-18 LPA,Consulting/Corporate/Hybrid,High: ESG reporting services,Medium,High: sustainability reports,"SDGs, climate missions, corporate reporting",Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-CLIM-CIRCECONCONS,CAR-INT-CLIM-CIRCECONCONS,INT-DOM-CLIMATE,UNI-INTERDISCIPLINARY,Circular Economy Consultant,Environment + Business + Design,Sustainability + Enterprise,MBA sustainability; MSc environmental management; design/business circularity courses,Any graduate; environment/business/design helpful,Graduation / PG,"IIMs, TERI, design/business schools",CAT/CUET PG/institute tests,"Systems thinking, waste audit, business modelling","Environment, commerce, project work",₹5-18 LPA,Consulting/Hybrid,Very High: circularity audits,Medium,High: audit/toolkits,"Swachh Bharat, circular economy, MSME",Emerging-Structured,https://www.startupindia.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-AGRI-AGRITECHBUSIANAL,CAR-INT-AGRI-AGRITECHBUSIANAL,INT-DOM-AGRI,UNI-INTERDISCIPLINARY,Agri-Tech Business Analyst,Agriculture + Data + Business,Agri + Technology,BSc Agriculture; MBA AgriBusiness; Data/AgriTech PG programs,PCB/PCM/agri stream for UG; any graduate for MBA agri in some institutes,After 12th / Graduation,"MANAGE, agricultural universities, IRMA, private agri-business schools",CUET/ICAR/CAT/CMAT/institute tests,"Agri markets, analytics, supply chain, rural fieldwork","Biology/geography, rural economy, Excel",₹4-14 LPA,Field + office/hybrid,High: farm advisory/data services,High,Medium-High: market/field reports,"Digital Agriculture, eNAM, Startup India",Emerging-Structured,https://www.manage.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-AGRI-FOODTECHENTR,CAR-INT-AGRI-FOODTECHENTR,INT-DOM-AGRI,UNI-INTERDISCIPLINARY,Food Technology Entrepreneur,Food Science + Business + Supply Chain,Food + Enterprise,BTech/BSc Food Tech; MBA Food Business; PG diploma food safety,PCM/PCB for BTech/BSc; graduate for MBA/PG,After 12th / Graduation,"CFTRI, NIFTEM, food tech universities, FSSAI ecosystem",CUET/JEE/institute exams,"Food safety, operations, branding, supply chain","Chemistry, biology, home science, entrepreneurship clubs",₹4-15 LPA; entrepreneurship variable,Industry/Startup,Very High,Medium,High: product prototype/business plan,"PMFME, Startup India, MSME",Established-Emerging,https://www.startupindia.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-AGRI-RURAINNOMANA,CAR-INT-AGRI-RURAINNOMANA,INT-DOM-AGRI,UNI-INTERDISCIPLINARY,Rural Innovation Manager,Rural Management + Design + Technology,Rural + Innovation,PGDM Rural Management; social design; agri/rural innovation programs,Any graduate; rural/social/agri experience helpful,Graduation / PG,"IRMA, MANAGE, TISS, rural universities",CAT/XAT/CMAT/IRMA/institute tests,"Field immersion, enterprise design, livelihoods","Rural visits, local economy study, communication",₹5-16 LPA,Field + office,High: rural enterprise consulting,Medium-High,High: field projects,"NRLM, Skill India, Startup India",Established-Emerging,https://www.irma.ac.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-GEO-GEOAGEOSANAL,CAR-INT-GEO-GEOAGEOSANAL,INT-DOM-GEO,UNI-INTERDISCIPLINARY,GeoAI / Geospatial Analyst,Geography + Remote Sensing + AI,Geospatial + Data,BSc/MSc Geography/Geoinformatics; Remote Sensing; GIS + AI courses,PCM/Geography; BSc/BE for PG; maths/data useful,After 12th / Graduation,"IIRS, ISRO-linked institutes, IITs, central universities",CUET PG/GATE/institute exams,"GIS, remote sensing, Python, spatial analysis","Geography, maths, maps, coding basics",₹5-16 LPA,Govt/Consulting/Hybrid,High: GIS mapping services,Very High,High: GIS portfolio,"Smart Cities, disaster management, Digital India",Emerging-Structured,https://swayam.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-GEO-URBAPLANSMARCITY,CAR-INT-GEO-URBAPLANSMARCITY,INT-DOM-GEO,UNI-INTERDISCIPLINARY,Urban Planner / Smart City Analyst,Architecture + Geography + Policy + Data,Urban + Governance,BPlan/MPlan; Urban Studies; Public Policy; Smart city analytics,PCM for architecture/planning; any graduate for urban studies/policy,After 12th / Graduation,"SPA Delhi/Bhopal/Vijayawada, CEPT, IITs",JEE/NATA/CUET PG/GATE/institute tests,"Urban research, GIS, planning law, data","Geography, drawing/maps, civic awareness",₹5-18 LPA,Planning/Consulting/Govt,Medium: local planning advisory,High,High: maps/planning portfolio,"Smart Cities Mission, AMRUT",Established-Emerging,https://www.ugc.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-GEO-WATERESOMANAPROF,CAR-INT-GEO-WATERESOMANAPROF,INT-DOM-GEO,UNI-INTERDISCIPLINARY,Water Resource Management Professional,Civil/Environmental Science + Policy + GIS,Environment + Governance,MSc/MTech Water Resource; environmental management; public policy,PCM/civil/environment/geography backgrounds,Graduation / PG,"IITs, TERI, central universities, water institutes",GATE/CUET PG/institute tests,"Hydrology basics, GIS, policy, project management","Geography, environmental clubs, maths",₹5-16 LPA,Govt/Consulting/NGO,High: local water audit services,Medium-High,High: water audit/project reports,"Jal Jeevan Mission, AMRUT",Established-Emerging,https://www.ugc.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-LAWT-AIETHIGOVEANAL,CAR-INT-LAWT-AIETHIGOVEANAL,INT-DOM-LAWTECH,UNI-INTERDISCIPLINARY,AI Ethics & Governance Analyst,AI + Law + Philosophy + Public Policy,AI Governance,MA/MPP/LLM Tech Law; PG Diploma AI Ethics; CS + policy pathway,"Any graduate; law, philosophy, CS, public policy backgrounds advantageous",Graduation / PG,"IITs, IIITs, NLSIU, TISS, policy schools",CUET PG/NLSAT-MPP/institute selection,"Ethics, policy writing, AI basics, regulatory analysis","Debate, logic, constitutional values, coding awareness",₹6-20 LPA,Consulting/Policy/Remote,High: AI governance advisory,Very High,"High: policy notes, audit frameworks","IndiaAI, Digital Personal Data Protection ecosystem",Emerging-Structured,https://indiaai.gov.in/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-LAWT-CYBEPOLIDIGIRIGH,CAR-INT-LAWT-CYBEPOLIDIGIRIGH,INT-DOM-LAWTECH,UNI-INTERDISCIPLINARY,Cyber Policy & Digital Rights Professional,Law + Technology + Governance,Law + Tech,LLB/LLM Cyber Law; MA Public Policy; PG Diploma Cyber Law,Any graduate for policy; law/IT background preferred for cyber compliance,Graduation / PG,"NLSIU, NLU ecosystem, TISS, cyber law institutes",CLAT PG/NLSAT/Institute exams,"Cyber law, data protection, writing, digital literacy","ICT awareness, debate, constitution, basic security",₹5-18 LPA,Policy/legal/compliance,High: privacy/cyber compliance advisory,High,"High: legal briefs, compliance templates","Digital India, DPDP Act ecosystem",Emerging-Structured,https://www.nls.ac.in/programme/master-of-public-policy/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-STR-LAWT-PUBLPOLIANAL,CAR-INT-LAWT-PUBLPOLIANAL,INT-DOM-LAWTECH,UNI-INTERDISCIPLINARY,Public Policy Analyst,Economics + Law + Sociology + Governance,Public Policy,BA/MA Public Policy; MPP; Development Studies; Economics/Public Admin,Any stream for UG; any graduate for PG; quantitative skills useful,After 12th / Graduation,"NLSIU, TISS, Azim Premji University, Central Universities",CUET/NLSAT-MPP/institute tests,"Policy analysis, statistics, writing, field research","Newspaper reading, debate, data interpretation, civics",₹5-16 LPA,Think tank/Govt/NGO/Consulting,Medium: policy research consultancy,Medium,"High: policy briefs, field reports","NITI Aayog, SDGs, Digital India",Established,https://www.nls.ac.in/programme/master-of-public-policy/,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
