source_record_code,source_workbook,source_sheet,source_row,source_url,content_hash,raw_json
SRC-COM-ACTUARIAL-10-BE084,3-Structured - Commerce.xlsx,Actuarial,10,,e034a3ef7952f4b7be4d52e92338f576615b7bf7c8c2635fdc8f78a82c10266b,"{""Layer"":""Future Scope"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":"""",""9th"":"""",""10th"":"""",""11th"":"""",""12th"":"""",""UG Yr1"":"""",""UG Yr2"":"""",""UG Yr3"":"""",""PG/Final"":""Strong / AI-augmented / evolving""}"
SRC-COM-ACTUARIAL-11-9E5AB,3-Structured - Commerce.xlsx,Actuarial,11,,d8ba02fd2c2261b07a3ccd34781b4833b0a3e6bae09c221304ce43d887960150,"{""Layer"":""Entrance Exam"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":"""",""9th"":"""",""10th"":"""",""11th"":"""",""12th"":"""",""UG Yr1"":"""",""UG Yr2"":"""",""UG Yr3"":"""",""PG/Final"":""Actuarial Exams (IFoA / IAI)""}"
SRC-COM-ACTUARIAL-12-07D06,3-Structured - Commerce.xlsx,Actuarial,12,,13629ffb019674696ceb5cd0658bbbc6287099203c0a07f85e3b8eb705ea10f4,"{""Layer"":""Exam Preparation Stage"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":""Foundation Awareness"",""9th"":""Basic Concepts Start"",""10th"":""Stream Decision"",""11th"":""Math Prep Start"",""12th"":""Serious Preparation"",""UG Yr1"":""Mock Tests + Coaching"",""UG Yr2"":""Revision + Practice"",""UG Yr3"":""Actuarial Papers"",""PG/Final"":""Final Attempt / Certification""}"
SRC-COM-ACTUARIAL-2-4FD58,3-Structured - Commerce.xlsx,Actuarial,2,,1123b29cad1cbd880ebfced9c868c025e0ab22d4a0f1d09c1bc80a06d0f6341a,"{""Layer"":""Structure Path"",""Stream"":""Commerce"",""Specialization"":""Actuarial Science"",""Type"":""Core"",""8th"":""Foundation"",""9th"":""Foundation"",""10th"":""Boards"",""11th"":""Commerce"",""12th"":""Continue"",""UG Yr1"":""Core Study"",""UG Yr2"":""Advanced"",""UG Yr3"":""Internship"",""PG/Final"":""Final Qualification""}"
SRC-COM-ACTUARIAL-3-22B15,3-Structured - Commerce.xlsx,Actuarial,3,,316d759a5892cd78955e614748eda4780251c24b8b9712edc7f22f03ab6c0c79,"{""Layer"":""Decision Points"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":""Interest"",""9th"":""Stream Choice"",""10th"":""Career Awareness"",""11th"":""Register Course"",""12th"":""Continue"",""UG Yr1"":""Clear Levels"",""UG Yr2"":""Specialization"",""UG Yr3"":""Practical Exposure"",""PG/Final"":""Career Choice""}"
SRC-COM-ACTUARIAL-4-5B364,3-Structured - Commerce.xlsx,Actuarial,4,,b0c7e0ea5e05915bd5c8aefc4a2652143bf70ebd96fe69a1b16d6d412dd43b2e,"{""Layer"":""Criteria"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":""Basic Aptitude"",""9th"":""Numerical"",""10th"":""Consistency"",""11th"":""Subject Strength"",""12th"":""Commitment"",""UG Yr1"":""Concept Clarity"",""UG Yr2"":""Advanced Skills"",""UG Yr3"":""Experience"",""PG/Final"":""Expertise""}"
SRC-COM-ACTUARIAL-5-2057D,3-Structured - Commerce.xlsx,Actuarial,5,,3adb7d74a5eea63858200416f99bb0ebf30f1bcb0b27d5cda10b729b2f5e9d46,"{""Layer"":""Key Subjects"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":""Basic Math"",""9th"":""Accounts"",""10th"":""Accounts"",""11th"":""Accounts/Eco"",""12th"":""Accounts/Eco"",""UG Yr1"":""Core Subjects"",""UG Yr2"":""Advanced"",""UG Yr3"":""Applied"",""PG/Final"":""Specialization""}"
SRC-COM-ACTUARIAL-6-7A50F,3-Structured - Commerce.xlsx,Actuarial,6,,85f9ff3a0d01778d0cf04cf4089a19b62cb2aa6067f676699bdf437bfdca7902,"{""Layer"":""Supporting Activities"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":""Basic Learning"",""9th"":""Self-study"",""10th"":""Coaching"",""11th"":""Foundation Prep"",""12th"":""Exam Prep"",""UG Yr1"":""Internship"",""UG Yr2"":""Projects"",""UG Yr3"":""Articleship/Training"",""PG/Final"":""Professional Work""}"
SRC-COM-ACTUARIAL-7-EF5A5,3-Structured - Commerce.xlsx,Actuarial,7,,4f63097db4b1320ac1c4c156f2b35bc6da404cf32d550e16c9a45eb3c2406dad,"{""Layer"":""Career Outcomes"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":"""",""9th"":"""",""10th"":"""",""11th"":"""",""12th"":"""",""UG Yr1"":"""",""UG Yr2"":"""",""UG Yr3"":"""",""PG/Final"":""""}"
SRC-COM-ACTUARIAL-8-D7AA2,3-Structured - Commerce.xlsx,Actuarial,8,,4e848516fc9429796f60e198cd95bb32689526fb715a0997e2fd70ccb91a4715,"{""Layer"":""Relevant Careers"",""Stream"":"""",""Specialization"":"""",""Type"":"""",""8th"":"""",""9th"":"""",""10th"":"""",""11th"":"""",""12th"":"""",""UG Yr1"":"""",""UG Yr2"":"""",""UG Yr3"":"""",""PG/Final"":""Actuary, Risk Analyst, Insurance Analyst""}"
