domain_code,integration_domain_code,universe_code,name,integration_nature,description,baseline_stream_count,governance_status,version,source_document
INT-DOM-BIOSCI,INT-DOM-BIOSCI,UNI-INTERDISCIPLINARY,"Biosciences, Data & Digital Health",Science + Data + Health,"Bioinformatics, genomics, health informatics, clinical data and digital-health integration.",2,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-PSYAI,INT-DOM-PSYAI,UNI-INTERDISCIPLINARY,"Psychology, Behaviour, Business & AI",Psychology + Business + AI,"Behavioural economics, consumer neuroscience, people analytics, HCI and human-AI interaction.",4,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-FINTECH,INT-DOM-FINTECH,UNI-INTERDISCIPLINARY,"Commerce, Finance, Analytics & FinTech",Commerce + Data + Technology,"FinTech product, financial analytics, climate finance, ESG reporting and financial-data pathways.",3,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-CLIMATE,INT-DOM-CLIMATE,UNI-INTERDISCIPLINARY,"Climate, Sustainability, Environment & Circular Systems",Environment + Policy + Business + Data,"Climate finance, sustainability analytics, circular economy, adaptation planning and environmental governance.",2,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-AGRI,INT-DOM-AGRI,UNI-INTERDISCIPLINARY,"Agriculture, Food, Rural Systems & Technology",Agriculture + Business + Data + Sustainability,"Agri-tech, food systems, rural innovation, supply chains, resource enterprise and digital agriculture.",3,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-GEO,INT-DOM-GEO,UNI-INTERDISCIPLINARY,"Geospatial, Urban, Water & Smart Systems",Geography + GIS + AI + Policy,"GeoAI, urban planning, smart cities, water-resource analytics and spatial governance.",3,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-LAWTECH,INT-DOM-LAWTECH,UNI-INTERDISCIPLINARY,"Law, Technology, Governance & Digital Regulation",Law + Technology + Policy,"Privacy, AI governance, legal design, legal analytics, digital identity and technology regulation.",6,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-POLICY,INT-DOM-POLICY,UNI-INTERDISCIPLINARY,"Public Policy, Economics, Governance & Social Impact",Policy + Economics + Law + Data,"Policy analysis, governance data, development programmes, impact measurement and public systems.",3,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-HUMTECH,INT-DOM-HUMTECH,UNI-INTERDISCIPLINARY,"Humanities, Culture, Heritage & Technology",Humanities + Digital Tools + Design,"Digital humanities, archives, museums, cultural technology, heritage experience and language technology.",2,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-MEDIAAI,INT-DOM-MEDIAAI,UNI-INTERDISCIPLINARY,"Media, Communication, Data & AI",Media + Data + AI,"Data journalism, AI-assisted media, science communication, creator strategy and development communication.",3,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-DESIGN,INT-DOM-DESIGN,UNI-INTERDISCIPLINARY,"Design, Business, Product & Technology",Design + Management + Technology,"Service design, product experience, legal design, fashion technology and no-code systems.",1,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-EDTECH,INT-DOM-EDTECH,UNI-INTERDISCIPLINARY,"Education, Learning Sciences, Data & Technology",Education + Psychology + Content + Data,"Educational technology, learning analytics, instructional design and inclusive digital learning.",3,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-HEALTH,INT-DOM-HEALTH,UNI-INTERDISCIPLINARY,"Healthcare, Management, Analytics & Public Health",Health + Management + Data + Policy,"Health informatics, hospital analytics, digital-health products, public-health data and market access.",1,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-FRONTIER,INT-DOM-FRONTIER,UNI-INTERDISCIPLINARY,"Frontier Science, Space, AI & Emerging Systems",Science/Engineering + Policy + Business,"Space policy, GeoAI, autonomous systems, bioentrepreneurship and digital public infrastructure.",1,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-COMMUNITY,INT-DOM-COMMUNITY,UNI-INTERDISCIPLINARY,"Community, Tribal, Inclusive & Regional Systems",Community Knowledge + Policy + Health + Livelihood,"Tribal studies, indigenous knowledge, inclusive education, community health, rural digital inclusion and local enterprise.",0,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
INT-DOM-CREATIVE,INT-DOM-CREATIVE,UNI-INTERDISCIPLINARY,"Creative Industries, Experience & Knowledge Enterprise",Arts + Media + Business + Technology,"Fashion, film, sports analytics, heritage enterprise, cultural management and creative-economy pathways.",1,Validated,1.1,RSA_SCC_Ontology_v1.1_Interdisciplinary_Universe_Direct_Structure.md
