stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
MGT-STR-GEN-MANATRAI,UNI-MANAGEMENT,MGT-DOM-GEN,Management Trainee,Interdisciplinary Digital Stream,Management,Core Management,General Management,,Management Trainee,BBA/MBA preferred,After graduation,BBA/BMS then MBA/PGDM or direct campus placement,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-PUBLPOLIMANA,UNI-MANAGEMENT,MGT-DOM-GEN,Public Policy Manager,Functional Management Stream,Management,Interdisciplinary Management,Policy Programs,,Public Policy Manager,MPP/MBA/Development PG useful,After graduation,Any UG + MPP/Development Mgmt/MBA; internships,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-PROJMANA,UNI-MANAGEMENT,MGT-DOM-GEN,Project Manager,Interdisciplinary Digital Stream,Management,General/Tech Management,Project Delivery,,Project Manager,MBA/PMP helpful,After graduation/experience,Any UG + project coordination + PMP/Agile basics,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-COMPMANA,UNI-MANAGEMENT,MGT-DOM-GEN,Compliance Manager,Functional Management Stream,Management,Management + Law,Business Compliance,,Compliance Manager,MBA/LLB useful depending role,After graduation,BCom/BBA/LLB + compliance courses + industry exposure,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-GEN-PUBLNARRSOCIIMPA,UNI-MANAGEMENT,MGT-DOM-GEN,Public Narrative & Social Impact Communication Manager,Functional Management Stream,Management,Interdisciplinary Management,Communication / Development / Policy,,Public Narrative & Social Impact Communication Manager,MBA optional; communication/social science background useful,After graduation,BA Mass Communication/Sociology/Political Science + management/PR skills,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-BUSIDEVEEXECMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Business Development Executive/Manager,Functional Management Stream,Management,Sales & Growth,B2B/B2C Sales,,Business Development Executive/Manager,Degree useful; MBA optional,After 12th/Graduation,Any UG + sales internships; MBA for leadership,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-MARKMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Marketing Manager,Functional Management Stream,Management,Marketing,Brand/Product Marketing,,Marketing Manager,MBA preferred for managerial roles,After graduation,BBA/BCom/BA + MBA Marketing; certifications in digital tools,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-LUXUBRANMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Luxury Brand Manager,Sector Management Stream,Management,Sector Management,Luxury/Lifestyle,,Luxury Brand Manager,BBA/MBA Marketing/Luxury useful,After 12th/Graduation,BBA Retail/Fashion/Luxury + internships; MBA optional,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-PERFMARKMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Performance Marketing Manager,Interdisciplinary Digital Stream,Management,Digital Management,Paid Growth,,Performance Marketing Manager,MBA not compulsory,After 12th/Graduation,Digital marketing certification + campaign practice,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-GROWMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Growth Manager,Interdisciplinary Digital Stream,Management,Digital Management,Growth & Experimentation,,Growth Manager,MBA optional,After graduation/portfolio,Any UG + growth projects + analytics + marketing/sales exposure,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-COMMMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Community Manager,Interdisciplinary Digital Stream,Management,Digital Management,Community-led Growth,,Community Manager,MBA not compulsory,After 12th/Graduation,Any UG + online community handling + content skills,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-CORPCOMMMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Corporate Communications Manager,Functional Management Stream,Management,Marketing/Comms,Internal & External Communication,,Corporate Communications Manager,MBA/MA Comms helpful,After graduation,BA/BBA/BMM + MBA/PG Comms optional,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-REALESTABUSIMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Real Estate Business Manager,Sector Management Stream,Management,Sector Management,Real Estate Sales/Operations,,Real Estate Business Manager,MBA optional; domain knowledge key,After 12th/Graduation,BBA/BCom + real estate sales/ops; MBA helpful,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-INSUBUSIMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Insurance Business Manager,Functional Management Stream,Management,BFSI Management,Insurance Sales/Distribution,,Insurance Business Manager,MBA optional,After 12th/Graduation,Any UG + insurance sales training; MBA for management,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-BRANPARTMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Brand Partnership Manager,Functional Management Stream,Management,Marketing/Media,Partnerships & Sponsorship,,Brand Partnership Manager,MBA optional,After graduation,BBA/BMM/Any UG + sales/marketing partnerships,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-MKT-INSTSALEMANA,UNI-MANAGEMENT,MGT-DOM-MKT,Institutional Sales Manager,Functional Management Stream,Management,Sales Management,B2B Enterprise Sales,,Institutional Sales Manager,MBA optional,After graduation,Any UG + sales experience; MBA helps for strategic roles,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-STR-FIN-FINAMANA,UNI-MANAGEMENT,MGT-DOM-FIN,Finance Manager,Functional Management Stream,Management,Finance Management,Corporate Finance,,Finance Manager,MBA Finance/CA/CFA useful,After graduation,BCom/BBA/Economics + MBA Finance or CA/CFA aligned certifications,,,,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
