domain_code,universe_code,name,domain_nature,description,baseline_stream_count,source_basis,normalization_status,confidence,governance_status,version,source_document
MGT-DOM-GEN,UNI-MANAGEMENT,"General Management, Strategy & Leadership",Core Management,"General management, strategy, leadership, management-trainee and cross-functional decision pathways.",5,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-MKT,UNI-MANAGEMENT,"Marketing, Sales, Growth & Brand Management",Commercial/Growth,"Marketing, sales, business development, branding, growth, partnerships and customer acquisition.",11,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-FIN,UNI-MANAGEMENT,"Finance, BFSI, Risk & Investment Management",Finance/BFSI,"Corporate finance, banking, insurance, investment, risk, wealth and financial-service management.",5,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-HR,UNI-MANAGEMENT,"Human Resources, People Operations & Learning",People Management,"Recruitment, HR operations, L&D, people analytics, employee relations and talent management.",2,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-OPS,UNI-MANAGEMENT,"Operations, Supply Chain, Procurement & Quality",Operations,"Operations, logistics, supply chain, procurement, inventory, quality, process and service delivery.",17,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-ANA,UNI-MANAGEMENT,"Business Analytics, Intelligence & Decision Science",Analytical,"Business analysis, BI, revenue operations, MIS, decision support and management analytics.",2,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-CONS,UNI-MANAGEMENT,"Consulting, Research & Advisory",Advisory,"Management consulting, market research, business research, strategy advisory and specialised consulting.",1,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-ENT,UNI-MANAGEMENT,"Entrepreneurship, Startup & Family Business",Enterprise,"Startup operations, entrepreneurship, family business, incubation and venture-building pathways.",1,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-PROD,UNI-MANAGEMENT,"Product, Technology & Digital Transformation Management",Tech Management,"Product management, product operations, SaaS, digital transformation, systems and technology-enabled management.",5,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-DIG,UNI-MANAGEMENT,"Digital Commerce, Platforms, Creator & Community Management",Digital Economy,"E-commerce, creator economy, platform operations, community management and digital business.",3,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-AI,UNI-MANAGEMENT,"AI-Era Management, Automation & Governance",AI/Technology,"AI strategy, prompt operations, no-code automation, AI workflow, AI governance and responsible adoption.",3,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-ESG,UNI-MANAGEMENT,"Sustainability, ESG, CSR & Climate Management",Sustainability,"ESG, CSR, climate business, circular economy, impact and responsible-management pathways.",3,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
MGT-DOM-HEA,UNI-MANAGEMENT,"Healthcare, Hospital, Public Health & Care Management",Sector Management,"Hospital administration, health operations, public health, senior living and health-tech management.",1,,Validated baseline,,Validated baseline,0.9,RSA_SCC_Ontology_v0.9_Management_Universe_Direct_Structure.md
