domain_code,universe_code,name,domain_nature,description,baseline_stream_count,source_basis,normalization_status,confidence,governance_status,version,source_document
HUM-DOM-LANG,UNI-HUMANITIES,"Languages, Literature & Linguistics",Language/Humanities,"Literature, Indian and classical languages, linguistics, language scholarship and language-based knowledge careers.",9,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-HHA,UNI-HUMANITIES,"History, Archaeology, Archives & Heritage",Historical/Cultural,"Historical research, archaeology, archival practice, conservation documentation, heritage interpretation and tourism.",8,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-GOV,UNI-HUMANITIES,"Political Science, Governance, International Relations & Public Administration",Governance/Public Service,"Political studies, public policy, public administration, international relations and competitive public-service pathways.",6,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-SOC,UNI-HUMANITIES,"Sociology, Social Work, Development & Human-Centred Practice",Social/Development,"Sociology, social work, development, gender, rural studies, CSR, community engagement and human-centred services.",8,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-PSY,UNI-HUMANITIES,Psychology & Behavioural Sciences,Behavioural/Professional,"Psychology, counselling, psychometrics, behavioural science and specialised psychology pathways.",8,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-GEO,UNI-HUMANITIES,"Geography, Environment, Urban Studies & Human Ecology",Spatial/Environmental,"Geography, GIS, urban studies, environmental humanities, disaster studies and society-environment pathways.",5,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-PHI,UNI-HUMANITIES,"Philosophy, Ethics, Religion & Medical Humanities",Conceptual/Ethical,"Philosophy, applied ethics, religious studies, medical humanities and AI-era ethics.",4,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-EDU,UNI-HUMANITIES,"Education, Teaching, Counselling & Academic Practice",Education/Professional,"School teaching, higher education, curriculum, inclusive education, educational content and career counselling.",8,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-MED,UNI-HUMANITIES,"Journalism, Media, Communication & Digital Culture",Media/Communication,"Journalism, broadcast, audio, documentary, PR, advertising writing, verification and digital culture.",11,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-PERF,UNI-HUMANITIES,Performing Arts & Performance Practice,Creative/Performance,"Music, dance, theatre, devotional, folk and instrumental performance pathways.",7,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-VIS,UNI-HUMANITIES,"Visual, Fine, Traditional & Applied Arts",Creative/Visual,"Fine arts, illustration, traditional and craft arts, expressive arts and art education.",7,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-TRANS,UNI-HUMANITIES,"Translation, Interpretation & Localization",Language Service,"Translation, interpretation, subtitling, dubbing, localization, language training and trust-and-safety language work.",10,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-PUB,UNI-HUMANITIES,"Publishing, Editorial, Writing & Knowledge Industry",Publishing/Knowledge,"Editorial, academic, educational, digital, audio, heritage and regional-language publishing, writing and knowledge curation.",47,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-CULT,UNI-HUMANITIES,"Museums, Culture Management & Public Humanities",Cultural Ecosystem,"Museums, galleries, curation, cultural documentation, public humanities and cultural entrepreneurship.",6,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-DH,UNI-HUMANITIES,"Digital Humanities, AI & Human-Centred Technology",Interdisciplinary/Digital,"Digital humanities, AI ethics, conversational systems, UX/narrative writing, language data and cultural technology.",10,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
HUM-DOM-IKS,UNI-HUMANITIES,"Indian Knowledge Systems, Indic, Folk & Indigenous Studies",IKS/Cultural,"Indian knowledge systems, Indic thought, tribal and folk studies, heritage interpretation and indigenous knowledge pathways.",6,,Validated baseline,,Validated baseline,0.8,RSA_SCC_Ontology_v0.8_Humanities_Universe_Direct_Structure.md
