stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
COM-STR-CA,UNI-COMMERCE,COM-DOM-ACC,Chartered Accountancy,Professional Qualification,Core,CA Pathway,,,Chartered Accountant; Auditor; Tax Consultant; CFO,,,,,Direct source,High,"Keep qualification, exam series, articleship and practice rights separate.",Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-CMA,UNI-COMMERCE,COM-DOM-ACC,Cost & Management Accountancy,Professional Qualification,Core,CMA Pathway,,,Cost Accountant; Financial Controller; Pricing Analyst,,,,,Direct source,High,Formal practical training and professional membership required.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-FA,UNI-COMMERCE,COM-DOM-ACC,Financial Accounting & Reporting,Academic/Professional Stream,Core,Accounting & Auditing category; CA/CMA subject layers,,,Financial Accountant; Reporting Analyst; Accounts Executive,,,,,Normalized inference,Medium,Source supports accounting domain but does not provide a dedicated pathway sheet.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-AUD,UNI-COMMERCE,COM-DOM-ACC,Audit & Assurance,Professional Practice Stream,Specialized,CA Pathway,,,Auditor; Internal Auditor; Assurance Associate,,,,,Normalized from career outcomes,High,Statutory and internal audit should be separated at outcome/practice-right level.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-FORACC,UNI-COMMERCE,COM-DOM-ACC,Forensic Accounting,Specialized Stream,Niche,Specialized Accounting; CA Pathway,,,Forensic Accountant; Fraud Analyst,,,,,Normalized from career outcomes,High,Requires investigation and data-analysis relationships.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-INSOLV,UNI-COMMERCE,COM-DOM-ACC,Insolvency & Restructuring,Professional Practice Stream,Niche,Specialized Accounting,,,Insolvency Professional; Restructuring Analyst,,,,,Normalized from career outcomes,Medium,Regulated professional status must be modeled separately.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-DTAX,UNI-COMMERCE,COM-DOM-TAX,Direct Taxation,Compliance Stream,Specialized,Taxation category; CA Pathway,,,Tax Consultant; Direct Tax Analyst,,,,,Normalized inference,Medium,Dedicated source sheet absent.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-IDTAX,UNI-COMMERCE,COM-DOM-TAX,Indirect Taxation & GST,Compliance Stream,Specialized,Taxation category; CA Pathway,,,GST Consultant; Indirect Tax Analyst,,,,,Normalized inference,Medium,Dedicated source sheet absent.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-INTTAX,UNI-COMMERCE,COM-DOM-TAX,International Tax & Transfer Pricing,Specialized Stream,Niche,Specialized Accounting,,,International Tax Consultant; Transfer Pricing Analyst,,,,,Normalized from career outcomes,High,International tax and transfer pricing should remain distinct specialisations.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-CS,UNI-COMMERCE,COM-DOM-GOV,Company Secretaryship,Professional Qualification,Core,CS Pathway,,,Company Secretary; Compliance Officer; Legal Advisor,,,,,Direct source,High,"Professional qualification, membership and practice right must be distinct.",Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-COMP,UNI-COMMERCE,COM-DOM-GOV,Corporate Compliance & Governance,Governance Stream,Specialized,CS Pathway; Corporate Law & Governance category,,,Compliance Officer; Governance Analyst,,,,,Normalized from career outcomes,High,Broader than the CS qualification itself.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-BANK,UNI-COMMERCE,COM-DOM-BFS,Banking Operations,Employment Stream,Core,Banking Pathway,,,Bank PO; Branch Manager; Banking Operations Officer,,,,,Direct source,High,"IBPS/SBI are recruitment exams, not academic entrance exams.",Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-STR-CREDIT,UNI-COMMERCE,COM-DOM-BFS,"Credit, Lending & Underwriting",Functional Stream,Specialized,Banking Pathway; FinTech Advanced,,,Credit Analyst; Lending Analyst; Underwriter,,,,,Normalized from career outcomes,High,Links banking and digital lending domains.,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
