stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
LAW-STR-LIT-ADVOLITI,UNI-LAW,LAW-DOM-LIT,Advocate / Litigator,Professional Practice Stream,Law,Core Legal Practice,"Civil, criminal, commercial litigation",,Advocate / Litigator,Mandatory LLB + Bar enrolment,After 12th or graduation,5-year integrated LLB after 12th or 3-year LLB after graduation; enrol with State Bar Council; clear AIBE,BA/BBA/BCom/BSc LLB or 3-year LLB,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-EDISCDOCUREVI,UNI-LAW,LAW-DOM-LIT,E-Discovery / Document Review Specialist,Interdisciplinary Technology-Law Stream,Law,Legal Technology,"Litigation support, investigations",,E-Discovery / Document Review Specialist,LLB helpful; not always mandatory,After graduation,LLB/forensics/IT; e-discovery platforms; document review,LLB/BA/BCom/BTech; Relativity/Nuix optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-TAXLAWY,UNI-LAW,LAW-DOM-LIT,Tax Lawyer,Legal Domain Stream,Law,Tax & Fiscal Law,Direct and indirect tax litigation/advisory,,Tax Lawyer,LLB useful/required for legal practice; CA/CS route also strong,After graduation,LLB/CA/CS; tax internships; tribunal exposure,LLB/CA/CS/MCom; LLM Tax optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-NCLTNCLAPRAC,UNI-LAW,LAW-DOM-LIT,NCLT / NCLAT Practitioner,Professional Practice Stream,Law,Tribunal Practice,"Company, insolvency, competition matters",,NCLT / NCLAT Practitioner,LLB + Bar enrolment for advocate; CS/CA/CMA can appear in specified matters,After professional qualification,LLB/CS/CA/CMA; company law and IBC expertise,LLB/CS/CA/CMA,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-LIT-LITIFINAANAL,UNI-LAW,LAW-DOM-LIT,Litigation Finance Analyst,Legal Domain Stream,Law,Finance & Legal Services,"Case funding, risk assessment",,Litigation Finance Analyst,LLB/finance useful,After graduation,Law/finance; litigation risk modelling; due diligence,LLB/MBA/CFA optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-JUDIOFFICIVIJUDG,UNI-LAW,LAW-DOM-JUD,Judicial Officer / Civil Judge,Public/Judicial Service Stream,Law,Judiciary & Public Law,Subordinate judiciary,,Judicial Officer / Civil Judge,Mandatory LLB,After graduation/LLB,LLB; prepare for State Judicial Service Examination,LLB; some states require advocate experience for higher judicial service,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-PUBLPROSASSIPUBL,UNI-LAW,LAW-DOM-JUD,Public Prosecutor / Assistant Public Prosecutor,Public/Judicial Service Stream,Law,Judiciary & Public Law,Criminal prosecution,,Public Prosecutor / Assistant Public Prosecutor,Mandatory LLB,After LLB/practice,LLB; enrolment/practice as required by state; APP/PP recruitment,LLB; Bar enrolment often required; experience varies by state,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-LAWCLERJUDICLER,UNI-LAW,LAW-DOM-JUD,Law Clerk / Judicial Clerk,Public/Judicial Service Stream,Law,Judiciary & Public Law,Judge's research support,,Law Clerk / Judicial Clerk,LLB generally required,After LLB,LLB with strong research and writing; court internships,LLB/LLM desirable,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-PATEAGEN,UNI-LAW,LAW-DOM-JUD,Patent Agent,Public/Judicial Service Stream,Law,IP & Innovation,Patent drafting/prosecution,,Patent Agent,Technical degree mandatory; LLB not mandatory,After graduation in science/engineering,Science/engineering degree; Patent Agent Exam; patent drafting training,BSc/MSc/BTech/MTech/PhD as eligible; patent agent exam,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-JUD-DEFESERVLEGAOFFI,UNI-LAW,LAW-DOM-JUD,Defence Services Legal Officer / JAG,Public/Judicial Service Stream,Law,Government & Defence Law,Military law and defence legal service,,Defence Services Legal Officer / JAG,LLB required,After LLB,LLB; meet defence recruitment eligibility; SSB/interview,LLB recognized by BCI; eligibility as notified,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
