domain_code,universe_code,name,domain_nature,description,baseline_stream_count,source_basis,normalization_status,confidence,governance_status,version,source_document
COM-DOM-ACC,UNI-COMMERCE,"Accounting, Audit & Assurance",Core Commerce,"Accounting, financial reporting, audit and assurance pathways.",,Accounting & Auditing; CA Pathway; CMA Pathway; Specialized Accounting,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-TAX,UNI-COMMERCE,Taxation,Compliance,"Domestic and international taxation, tax advisory and tax compliance pathways.",,Taxation category; CA Pathway; Specialized Accounting,Normalized,Medium,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-GOV,UNI-COMMERCE,"Corporate Governance, Law & Compliance",Governance/Compliance,"Corporate secretarial practice, legal compliance and governance pathways.",,Corporate Law & Governance; CS Pathway,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-BFS,UNI-COMMERCE,Banking & Financial Services,Service/Finance,"Banking operations, credit, lending and institutional financial-service pathways.",,Banking & Financial Services; Banking Pathway,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-FIN,UNI-COMMERCE,"Finance, Investment & Wealth",Analytical/Finance,"Investment analysis, financial planning, wealth management and portfolio pathways.",,Finance & Investment; Wealth Mgmt; CFA/CFP/NISM exams,Normalized,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-MKT,UNI-COMMERCE,Financial Markets & Trading,Analytical/Risk,"Equity research, trading, derivatives, portfolio strategy and algorithmic-market pathways.",,Financial Markets; Stock Market Advanced,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-INS,UNI-COMMERCE,"Insurance, Risk & Actuarial Science",Analytical/Risk,"Insurance analysis, actuarial practice and quantitative risk pathways.",,Insurance & Risk Management; Actuarial,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-ECO,UNI-COMMERCE,"Economics, Policy & Research",Analytical/Research,"Economics, policy analysis, applied economic research and related analytical pathways.",,Economics & Research; Economics Pathway,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-ANA,UNI-COMMERCE,"Business, Financial & Commerce Analytics",Analytical/Digital,"Business analytics, financial data analytics, BI and MIS pathways.",,Data Analytics (Commerce); Data Analytics; Business Analytics,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-FT,UNI-COMMERCE,FinTech & Digital Finance,Tech/Finance,"Digital payments, digital lending, blockchain compliance and InsurTech pathways.",,FinTech & Digital Finance; FinTech; FinTech Advanced,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-ECM,UNI-COMMERCE,E-Commerce & Digital Business,Business/Tech,"Marketplace, D2C, online business and e-commerce operations pathways.",,E-Commerce & Digital Business; E-Commerce; E-Commerce Advanced,Validated,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-MAR,UNI-COMMERCE,"Marketing, Advertising & Brand Communication",Business/Creative,"Digital marketing, advertising, branding, media and public-relations pathways.",,Digital Marketing; Advertising & Branding,Normalized,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-OPS,UNI-COMMERCE,"Business Operations, Logistics & Trade",Operations,"Procurement, inventory, logistics, export-import and vendor-management pathways.",,Logistics & Supply Chain; Industry Operations,Normalized,High,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-ENT,UNI-COMMERCE,"Entrepreneurship, Freelance & Independent Commerce",Enterprise,"Digital enterprise, independent consulting and global freelance commerce pathways.",,Business & Entrepreneurship; Global Freelance Careers; E-Commerce,Normalized,Medium,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
COM-DOM-PUB,UNI-COMMERCE,Public Sector & Government Commerce Roles,Government,"Commerce-linked public-sector, regulatory, banking and government examination pathways.",,Public Sector & Govt Roles; Banking Pathway; Economics Pathway,Provisional,Medium,Validated baseline,0.7,RSA_SCC_Ontology_v0.7_Commerce_Universe.md
